Title,Producer,Theme,Longevity,Rating,Image
Dune: Part Two,Denis Villeneuve,Action,2h 46m,8.5,images/movie1.png
Gladiator II,Ridley Scott,Action,2h 28m,6.9,images/movie2.png
Furiosa: A mad  Max Saga,George Miller,Action,2h 28m,7.5,images/movie3.png
Deadpool & Wolverine,Shawn Levy,Action,2h 8m,7.1,images/movie4.png
Alien: Romulus,Fade Alvarez,Horror,2 hours,7.1,images/movie5.png
Kingdom of the Planet of the Apes,Wes Ball,Advenuture,2h 25,7.6,
Inside Out 2,Kelsey Mann,Animation,1h 36,7.6,
The Bikeriders,Jeff Nichols,Drama,1h 56,6.7,
Rebel Ridge,Jeremy Saulnier,Action,2h 11,6.8,
Beverly Hills Cop: axel F,Mark Molloy,Action,1h 58,6.4,
Road House,Doug Liman,Action,2h,6.2,
Wicked,Jon m. Chu,Fantasy,2h 40,8.1,
Ordinary Angels,Jon Gunn,Drama,1h 58,7.4,
Civil War,Alex Garland ,action,1h 49,7,
A quiet place: Day One ,Michael Sarnoski,drama,1h 39,6.3,
Horizon: An american Saga,Kevin Costner,drama,3h,6.7,
Twisters,Lee Isaac Chung,Action,2h 2m,6.5,
Challengers,Luca Guadagnino,Action,2h 11,7.1,
Caddo lake,Logan George,Horror,1h 43,6.9,
Anora,Sean Baker,Comedy,2h 19,8.1,
Music By john williams,Laurent Bouzereau,Documentary,1h 45m,8.2,
Cabrini,Alejandro Monteverde,Biography,2h 22,7.3,
The Childrens Train,Cristina Comencini,Drama,1h 46,7.3,
Longlegs,Osgood Perkings,Crime,1h 41,6.7,
Mmemoir of a snail,Adam Elliot,Animation,1h 35,7.9,
Juror 2,Clint Eastwood,Mystery,1h 54,7.1,
Godzilla x Kong: The New Empire ,Adam Wingard,Action,1h 55,6.1,
The Ministry of Ungentlemanly Warfare,Guy Ritchie,Action,2h 2,6.8,
The Wild Robot,Chris Sanders,Animation,1h 42,8.3,
The Fall Guy,David Leitch,Comedy,2h 6,6.9,
Monkey Man,Dev Patel,Thriller,2h 1,6.8,
Abigail,Matt Bettinelli Olpin,Horror,1h 49,6.6,
The Beekeeper,David Ayer,Action,1h 45m,6.3,
Bad Genius,J.C Lee,Action,1h 36,6,
Justice,Michael Gazda,Action,1h 54,6.3,
Venom The Last Dance,Kelly Marcel,Acion,1h 50,6.2,
A place called Silence,Sam Quah,Horror,1h 59,6.4,
Escape,Lee Jong Pil,Drama,1h 34,6.4,
Beyond Youthful Days,Michito Fujii,Drama,2h 3,7.3,
Speak No evil,James Watkins,Horror,1h 50,6.8,
